gnz-id,name,club,level,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
672421,Indigo Horrigan,Twisters,1,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,2  ,12.750,5.0,6  ,14.050,5.0,1E  ,13.350,5.0,3  ,53.600,1  ,10-11 April 2022
301942,Frankie Bennett,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,12.900,5.0,7E  ,13.150,5.0,2  ,13.900,5.0,5  ,13.200,5.0,4  ,53.150,2  ,10-11 April 2022
612850,Maddie Wilson,Omni,1,UNDER,Wellington Champs 2022,AA,1,13.350,5.0,3E  ,13.250,5.0,1  ,12.900,5.0,9  ,13.400,5.0,2  ,52.900,3  ,10-11 April 2022
641030,Marina Lister,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,13.200,5.0,5  ,12.850,5.0,5  ,13.950,5.0,4  ,12.600,4.5,8  ,52.600,4  ,10-11 April 2022
649917,Emily van Aswegen,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,13.350,5.0,3E  ,12.950,5.0,3  ,14.050,5.0,1E  ,11.950,4.5,9  ,52.300,5  ,10-11 April 2022
626441,Brooke Sharratt,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,13.500,5.0,1  ,11.200,5.0,9  ,14.050,5.0,1E  ,13.050,4.5,5E  ,51.800,6  ,10-11 April 2022
623657,Esther-rose Sarich,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,12.650,5.0,10  ,12.100,5.0,8  ,13.300,5.0,7  ,13.700,5.0,1  ,51.750,7  ,10-11 April 2022
656099,Stevie Webster,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,12.900,5.0,7E  ,12.900,5.0,4  ,12.950,4.5,8  ,12.700,4.5,7  ,51.450,8  ,10-11 April 2022
635709,Charlotte Aplin,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,12.800,5.0,9  ,12.450,5.0,7  ,13.400,5.0,6  ,11.550,5.0,10  ,50.200,9  ,10-11 April 2022
619134,Capri Apiata-Spark,Omni,1,UNDER,Wellington Champs 2022,AA,1,13.000,5.0,6  ,8.200,3.5,10  ,12.350,5.0,10  ,13.050,5.0,5E  ,46.600,10  ,10-11 April 2022
634707,Isabelle Chaney,Twisters,1,OVER,Wellington Champs 2022,AA,1,13.600,5.0,1  ,13.350,5.0,1  ,13.600,5.0,2  ,12.950,4.5,5  ,53.500,1  ,10-11 April 2022
629009,Baylee Gibbons,Omni,1,OVER,Wellington Champs 2022,AA,1,13.300,5.0,4  ,12.100,5.0,3  ,13.500,5.0,3E  ,13.900,5.0,2  ,52.800,2  ,10-11 April 2022
672410,Cielo Zheng,Twisters,1,OVER,Wellington Champs 2022,AA,1,13.200,5.0,5E  ,12.350,5.0,2  ,13.800,5.0,1  ,13.050,4.5,4  ,52.400,3  ,10-11 April 2022
