,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Marley Coburn,Auckland,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,11.433,3.3,8.133,9.333,3.1,6.533,11.1,2.6,8.5,9.933,1.6,8.333,11.966,3.2,8.766,10.8,2.5,8.3,64.565,,2022-07-13
1,,Martin Castka,Canterbury,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,10.933,3.3,7.633,0.0,0.0,0.0,11.8,3.4,8.4,0.0,0.0,0.0,12.333,3.2,9.133,0.0,0.0,0.0,35.066,,2022-07-13
2,,Nicholas Del Rey,Canterbury,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,13.333,5.5,7.833,12.533,4.1,8.733,13.1,3.9,9.2,11.866,2.9,8.966,13.433,4.3,9.133,12.633,3.8,8.833,76.898,,2022-07-13
3,,Alex Reed,Gymsport Manukau,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,12.3,3.3,9.0,8.9,2.4,6.8,12.5,3.8,8.7,10.866,2.7,8.166,11.266,3.5,7.766,11.733,3.1,8.633,67.565,,2022-07-13
4,,Duncan Ramsey,Gymsport Manukau,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,12.7,4.1,8.6,8.133,2.8,5.333,10.7,3.0,7.7,11.1,2.7,8.4,11.0,3.6,7.4,9.7,2.6,7.1,63.333,,2022-07-13
5,,Hiroyuki Kobayashi,Gymsport Manukau,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,10.033,4.0,6.033,9.3,2.4,7.2,11.633,2.9,8.733,11.433,2.7,8.733,12.533,3.6,8.933,11.166,2.5,8.666,66.098,,2022-07-13
6,,Matthew Arck-Weeber,Gymsport Manukau,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,13.566,4.7,8.866,13.333,4.3,9.033,13.033,4.5,8.533,12.8,3.7,9.1,12.8,3.8,9.0,12.4,3.8,8.6,77.932,,2022-07-13
7,,Robert Hughes,Harbour,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,12.433,4.9,7.533,10.833,3.5,7.333,11.5,3.4,8.1,10.666,1.6,9.066,12.5,4.1,8.4,11.6,2.8,8.8,69.532,,2022-07-13
8,,Taiga Stenton,Harbour,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,13.833,5.6,8.233,10.966,4.6,6.366,13.333,4.1,9.233,12.766,3.7,9.066,13.533,3.9,9.633,11.966,2.8,9.166,76.397,,2022-07-13
9,,Yuto Kawase,Harbour,Level 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team and All-around Finals,13.133,5.1,8.033,9.9,4.1,5.8,11.366,3.4,7.966,11.366,2.7,8.666,13.366,3.7,9.666,12.1,3.3,8.8,71.231,,2022-07-13
