,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Henru Viljoen,Auckland,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.7,2.3,7.4,10.2,2.3,7.9,9.9,2.0,7.9,10.8,2,8.8,10.65,2.0,8.65,10.55,2,8.55,61.800,,2022-07-13
1,,Oscar Dellow,Auckland,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.3,2.0,8.3,8.7,2.0,6.7,9.4,2.0,7.4,10.05,2,8.05,9.0,2.0,7.0,10.45,2,8.45,57.900,,2022-07-13
2,,Abel Standen,Bay of Plenty,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.65,2.3,8.35,10.7,2.0,8.7,9.75,2.0,7.75,11.35,2,9.35,10.9,2.3,8.6,10.75,2,8.75,64.100,,2022-07-13
3,,Caleb Baxter,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.0,1.0,7.0,9.7,1.0,8.7,10.15,2.0,8.15,10.55,2,8.55,9.3,2.0,7.3,10.8,2,8.8,58.500,,2022-07-13
4,,Callum Baird,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.9,1.0,7.9,10.3,2.0,8.3,10.35,2.0,8.35,11.55,2,9.55,10.85,2.3,8.55,10.2,2,8.2,62.150,,2022-07-13
5,,Liam Del Rey,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,11.2,2.0,9.2,11.5,2.0,9.5,11.7,2.3,9.4,10.75,2,8.75,11.45,2.3,9.15,11.35,2,9.35,67.950,,2022-07-13
6,,Lucas Henderson,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.9,2.3,8.6,10.8,2.0,8.8,9.95,2.0,7.95,10.8,2,8.8,11.25,2.3,8.95,10.05,2,8.05,63.750,,2022-07-13
7,,Aukaha Keogh,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.7,2.3,7.4,10.95,2.0,8.95,8.15,2.0,6.15,10.7,2,8.7,10.2,2.0,8.2,9.65,2,7.65,59.350,,2022-07-13
8,,Josiah Arndt,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.25,2.0,7.25,9.7,2.0,7.7,9.5,2.3,7.2,9.75,2,7.75,10.3,2.0,8.3,9.9,2,7.9,58.400,,2022-07-13
9,,Ted Jiang,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.0,2.0,8.0,9.8,2.0,7.8,8.25,2.0,6.25,10.95,2,8.95,10.6,2.3,8.3,10.1,2,8.1,59.700,,2022-07-13
10,,Blake Pennington,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.2,2.0,7.2,9.8,2.0,7.8,10.25,2.0,8.25,10.6,2,8.6,10.9,2.3,8.6,9.95,2,7.95,60.700,,2022-07-13
11,,Chase Stewart,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.35,2.0,7.35,9.2,2.0,7.2,9.9,2.0,7.9,11.05,2,9.05,10.05,2.0,8.05,11.05,2,9.05,60.600,,2022-07-13
12,,Fletcher du Toit,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.0,2.3,7.7,10.4,2.0,8.4,10.05,2.0,8.05,11.35,2,9.35,10.95,2.0,8.95,10.75,2,8.75,63.500,,2022-07-13
13,,Shin Tanaka,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.15,2.0,7.15,8.55,2.0,6.55,10.45,2.0,8.45,11.45,2,9.45,10.1,2.0,8.1,9.35,2,7.35,59.050,,2022-07-13
14,,Jordan Wade,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.45,1.0,7.45,5.0,1.0,4.0,9.3,2.0,7.3,10.05,2,8.05,9.75,2.0,7.75,10.05,2,8.05,52.600,,2022-07-13
15,,Joshua Wilcox,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.95,2.0,7.95,10.95,2.0,8.95,9.25,2.0,7.25,11.25,2,9.25,8.95,2.0,6.95,10.05,2,8.05,60.400,,2022-07-13
16,,Lachlan Steele,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.15,2.0,7.15,8.55,2.0,6.55,9.35,2.0,7.35,10.6,2,8.6,10.55,2.3,8.25,11.05,2,9.05,59.250,,2022-07-13
17,,Lucas Zhao,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,7.95,1.0,6.95,9.5,2.0,7.5,8.4,2.0,6.4,9.8,2,7.8,8.65,2.0,6.65,9.35,2,7.35,53.650,,2022-07-13
18,,Kobe Fox,Harbour,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.65,2.3,8.35,10.95,2.0,8.95,10.5,2.0,8.5,10.75,2,8.75,11.25,2.0,9.25,11.4,2,9.4,65.500,,2022-07-13
19,,Theo Kirk,Harbour,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.35,1.0,7.35,10.95,2.0,8.95,10.05,2.0,8.05,11.35,2,9.35,10.45,2.0,8.45,10.65,2,8.65,61.800,,2022-07-13
20,,Tom Mayer,Hawkes Bay/Poverty Bay,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.85,2.3,8.55,10.3,2.0,8.3,10.45,2.3,8.15,11.2,2,9.2,11.8,2.3,9.5,11.3,2,9.3,65.900,,2022-07-13
21,,Alex Scarlett,Southland,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.8,1.3,7.8,10.55,2.0,8.55,10.05,2.0,8.05,11.45,2,9.45,10.95,2.3,8.65,11.3,2,9.3,63.100,,2022-07-13
22,,Logan Mosey-Reid,Top of the South,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.15,2.3,7.85,10.5,2.0,8.5,10.35,2.0,8.35,11.7,2,9.7,11.25,2.0,9.25,11.45,2,9.45,65.400,,2022-07-13
23,,Benjamin Biddulph,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.35,1.3,8.05,8.35,2.0,6.35,10.65,2.0,8.65,11.05,2,9.05,11.4,2.3,9.1,10.85,2,8.85,61.650,,2022-07-13
24,,Layton Mace,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,7.6,1.0,6.6,9.0,2.0,7.0,8.55,2.0,6.55,10.35,2,8.35,9.25,2.0,7.25,9.95,2,7.95,54.700,,2022-07-13
25,,Louis Hoad,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.5,1.0,7.5,9.25,2.0,7.25,8.95,2.0,6.95,11.25,2,9.25,9.35,2.0,7.35,9.9,2,7.9,57.200,,2022-07-13
26,,Max Conlon,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.45,2.0,8.45,10.9,2.0,8.9,10.4,2.0,8.4,10.1,2,8.1,10.95,2.0,8.95,10.45,2,8.45,63.250,,2022-07-13
27,,Dylan Ware,Wanganui/Manawatu,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.15,2.0,8.15,10.95,2.0,8.95,10.6,2.0,8.6,10.25,2,8.25,10.75,2.0,8.75,8.5,1,7.5,61.200,,2022-07-13
28,,Harry Dawson,Wanganui/Manawatu,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,9.6,2.0,7.6,10.3,2.0,8.3,9.75,2.0,7.75,11.55,2,9.55,10.35,2.0,8.35,10.1,2,8.1,61.650,,2022-07-13
29,,Sean Dawson,Wanganui/Manawatu,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.3,2.3,8.0,10.7,2.0,8.7,10.05,2.0,8.05,12.0,2,10.0,10.4,2.0,8.4,10.7,2,8.7,64.150,,2022-07-13
30,,Bede Hewson,Wellington,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,11.2,2.3,8.9,9.85,2.0,7.85,10.15,2.0,8.15,10.6,2,8.6,11.25,2.3,8.95,10.95,2,8.95,64.000,,2022-07-13
31,,Harry Mulheron,Wellington,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.65,2.3,8.35,10.6,2.0,8.6,10.3,2.3,8.0,10.75,2,8.75,11.5,2.3,9.2,11.1,2,9.1,64.900,,2022-07-13
32,,Johannes Lindh̩r,Wellington,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,10.3,2.0,8.3,11.2,2.0,9.2,11.3,2.0,9.3,11.35,2,9.35,10.45,2.3,8.15,11.2,2,9.2,65.800,,2022-07-13
33,,Rafael Santhosh,Wellington,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,11.0,2.3,8.7,11.0,2.0,9.0,10.65,2.0,8.65,10.85,2,8.85,11.2,2.0,9.2,11.3,2,9.3,66.000,,2022-07-13
34,,Fraser Bialy,Wellington,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,8.8,1.3,7.5,10.95,2.0,8.95,9.7,2.3,7.4,11.0,2,9.0,11.75,2.3,9.45,11.4,2,9.4,63.600,,2022-07-13
